ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,GIS Coordinate
17406,HOWARD TALBOT PARK - Outdoor Tennis Court (  1),HOWARD TALBOT PARK - Tennis Court Area,HOWARD TALBOT PARK,635 EGLINTON AVE E,North York,26,Public,Outdoor Tennis Court,No,Asphalt,"(-79.37236378,43.71048744)"
17407,HOWARD TALBOT PARK - Outdoor Tennis Court (  2),HOWARD TALBOT PARK - Tennis Court Area,HOWARD TALBOT PARK,635 EGLINTON AVE E,North York,26,Public,Outdoor Tennis Court,No,Asphalt,"(-79.37216519,43.71048671)"
3118,HULLMAR PARK - Outdoor Tennis Court (  1),HULLMAR PARK - Tennis Court Area,HULLMAR PARK,97 HULLMAR DR,North York,08,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.52497017,43.76514772)"
3119,HULLMAR PARK - Outdoor Tennis Court (  2),HULLMAR PARK - Tennis Court Area,HULLMAR PARK,97 HULLMAR DR,North York,08,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.5253303,43.76506784)"
3120,HULLMAR PARK - Outdoor Tennis Court (  3),HULLMAR PARK - Tennis Court Area,HULLMAR PARK,97 HULLMAR DR,North York,08,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.52514788,43.76510664)"
3113,HUMBER VALLEY PARK - Outdoor Tennis Court (  1),HUMBER VALLEY PARK - Tennis Court Area,HUMBER VALLEY PARK,54 ANGLESEY BLVD,Etobicoke York,04,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.52479819,43.66432332)"
3114,HUMBER VALLEY PARK - Outdoor Tennis Court (  2),HUMBER VALLEY PARK - Tennis Court Area,HUMBER VALLEY PARK,54 ANGLESEY BLVD,Etobicoke York,04,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.52470132,43.66442558)"
3115,HUMBER VALLEY PARK - Outdoor Tennis Court (  3),HUMBER VALLEY PARK - Tennis Court Area,HUMBER VALLEY PARK,54 ANGLESEY BLVD,Etobicoke York,04,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.52460818,43.66451972)"
3116,HUMBER VALLEY PARK - Outdoor Tennis Court (  4),HUMBER VALLEY PARK - Tennis Court Area,HUMBER VALLEY PARK,54 ANGLESEY BLVD,Etobicoke York,04,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.52451475,43.66461408)"
3108,INDIAN LINE PARK - Outdoor Tennis Court (  1),INDIAN LINE PARK - Tennis Court Area,INDIAN LINE PARK,655 HUMBERWOOD BLVD,Etobicoke York,02,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.62273738,43.72510473)"
3109,INDIAN LINE PARK - Outdoor Tennis Court (  2),INDIAN LINE PARK - Tennis Court Area,INDIAN LINE PARK,655 HUMBERWOOD BLVD,Etobicoke York,02,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.62290601,43.72505645)"
3095,IROQUOIS PARK - Outdoor Tennis Court (  1),IROQUOIS PARK - Tennis Court Area,IROQUOIS PARK,295 CHARTLAND BLVD S,Scarborough,41,Public,Outdoor Tennis Court,No,Coated,"(-79.26813575,43.80358865)"
3096,IROQUOIS PARK - Outdoor Tennis Court (  2),IROQUOIS PARK - Tennis Court Area,IROQUOIS PARK,295 CHARTLAND BLVD S,Scarborough,41,Public,Outdoor Tennis Court,No,Coated,"(-79.26826301,43.80349256)"
