Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/locations/parks/?name=FENSIDE%20PARK,5,0,140.0,247.46733499999323,4.768620999982431,929.4774650000193,1897.0,0.08306618979329469,0.0,140,160,160,930,930,930,930,930,930,930,930
GET,/api/locations/parks/?name=FIRGROVE%20PARK,2,0,5,728.5889730000008,4.78972499999486,1452.3882210000068,1447.0,0.03322647591731787,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/locations/parks/?name=FLAGSTAFF%20PARK,5,0,11,369.1663245999905,6.555109999993647,1361.9865889999971,966.0,0.08306618979329469,0.0,11,460,460,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/locations/parks/?name=FOUNTAINHEAD%20PARK,5,0,4,12.942139599999791,3.220499999997628,50.02902200001813,1878.0,0.08306618979329469,0.0,4,4,4,50,50,50,50,50,50,50,50
GET,/api/locations/parks/?name=GIHON%20SPRING%20PARK,4,0,5,299.0213795000045,3.5159760000169626,1181.2712200000135,992.0,0.06645295183463575,0.0,6,6,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/locations/parks/?name=GLEN%20PARK,4,0,4,37.99126424999599,3.760631999995212,129.57939500000748,943.0,0.06645295183463575,0.0,15,15,130,130,130,130,130,130,130,130,130
GET,/api/locations/parks/?name=GLENDORA%20PARK,6,0,510.0,598.3857676666654,76.25504999998611,1117.5735289999977,956.0,0.09967942775195363,0.0,720,720,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=GOULDING%20PARK,2,0,4,544.2791990000018,3.8978940000049533,1084.6605039999986,1429.0,0.03322647591731787,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=GRACEDALE%20PARK,6,0,4,171.5099546666702,3.0767499999910797,1000.3862169999991,1460.0,0.09967942775195363,0.0,8,8,10,10,1000,1000,1000,1000,1000,1000,1000
GET,/api/locations/parks/?name=GRANDRAVINE%20PARK,1,0,13.427446999997983,13.427446999997983,13.427446999997983,13.427446999997983,1462.0,0.016613237958658936,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/locations/parks/?name=GRAYDON%20HALL%20PARK,2,0,38.06821800000648,39.70442349999814,38.06821800000648,41.340628999989804,1481.0,0.03322647591731787,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/locations/parks/?name=GWENDOLEN%20PARK,5,0,9,115.09353800000213,3.5907790000067052,547.4660200000017,2288.0,0.08306618979329469,0.0,9,10,10,550,550,550,550,550,550,550,550
GET,/api/locations/parks/?name=HAVENBROOK%20PARK,5,0,200.0,305.82285060000345,5.209901000000627,926.6957419999926,2350.0,0.08306618979329469,0.0,200,370,370,930,930,930,930,930,930,930,930
GET,/api/locations/parks/?name=HAWKSBURY%20PARK,9,0,590.0,636.8454236666612,3.9146279999897615,1581.8251959999827,3272.0,0.14951914162793045,0.0,590,920,1100,1300,1600,1600,1600,1600,1600,1600,1600
